[StudentAgent] Player 2 chose move with value=-85.76, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=-55.88, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-29.82, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.63, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.63, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-44.65, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-54.93, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-45.17, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-17.20, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.15, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-25.43, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-13.69, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-8.37, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.22, final depth=2, time=1.601s
[StudentAgent] Player 2 chose move with value=-9.25, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-53.76, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-78.51, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-70.03, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-57.17, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-24.09, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-29.00, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-39.06, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-16.03, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-14.51, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-1.48, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=3.84, final depth=2, time=1.601s
[StudentAgent] Player 2 chose move with value=12.21, final depth=2, time=1.601s
[StudentAgent] Player 2 chose move with value=13.91, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-14.25, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=10.90, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-14.51, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-9.91, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.71, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=3.62, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=20.32, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=59.67, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=63.92, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=83.68, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=99.79, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.836s
[StudentAgent] Player 1 chose move with value=-6.82, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=7.03, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-19.71, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-58.82, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-33.46, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-33.46, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-12.94, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-3.63, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=1.59, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=3.38, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=11.17, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-16.40, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-8.28, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=9.84, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=22.38, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=15.11, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=-13.28, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-8.21, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=14.62, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=19.99, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=19.83, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=24.06, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=15.37, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=12.40, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=4.10, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=9.98, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=19.46, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=20.99, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=30.16, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=45.13, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=46.35, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=76.52, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=49.36, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=52.92, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=83.69, final depth=6, time=0.556s
[StudentAgent] Player 1 chose move with value=31.67, final depth=6, time=0.010s
[StudentAgent] Player 2 chose move with value=-16.29, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-11.13, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.83, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.83, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.09, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-37.48, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-23.71, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-18.40, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-33.11, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-30.41, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.51, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-17.51, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-9.36, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=0.87, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=13.10, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=21.27, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=39.85, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=37.33, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=42.90, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=39.85, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=43.88, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=56.86, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=48.71, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=63.26, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=26.50, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=26.76, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.78, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-5.78, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-6.08, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-0.51, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=1.33, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=3.98, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=3.98, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.95, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=7.62, final depth=6, time=0.335s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=6, time=0.005s
[StudentAgent] Player 1 chose move with value=-10.93, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=8.14, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-20.00, final depth=4, time=1.600s
