[StudentAgent] Player 2 chose move with value=5.09, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=7.94, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=26.15, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=43.08, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=42.10, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=71.96, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=75.67, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=-11.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=1.05, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-21.65, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-65.68, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-53.22, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-50.81, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-45.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-38.86, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-39.43, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-44.61, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-24.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-20.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-46.98, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.20, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-31.49, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-34.60, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-25.16, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-5.53, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=5.73, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=11.42, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=20.41, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=23.27, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=25.25, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=29.94, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=32.87, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=41.07, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=43.79, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=42.43, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=46.27, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=38.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=30.30, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=36.91, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=37.39, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=45.63, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=55.26, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=6, time=0.014s
[StudentAgent] Player 2 chose move with value=-21.97, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.19, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-28.99, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-72.14, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-59.91, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-57.56, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-47.78, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-40.84, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-40.84, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-58.15, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-56.47, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-56.47, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-67.14, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=-81.73, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-77.09, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-61.37, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-51.09, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-40.11, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.74, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-24.52, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-28.09, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-47.07, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-28.99, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-19.61, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-19.17, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-9.35, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-1.31, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.16, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-6.98, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.20, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=1.51, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=21.00, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=20.51, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=34.78, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=30.82, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=26.40, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=29.30, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=28.25, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=34.26, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=48.11, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=41.87, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=60.34, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=64.53, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=82.95, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=82.95, final depth=6, time=0.019s
[StudentAgent] Player 1 chose move with value=-11.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=1.05, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-21.65, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-65.68, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-53.22, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-50.81, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-45.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-38.86, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-39.43, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-44.61, final depth=4, time=1.600s
